symbol	S01	S02	S03	S06	S08	S10	S11	S12	S14	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S29	S30	S31
TBX21	9.326	8.726	8.76	7.865	7.394	9.66	7.986	8.126	8.153	7.917	8.934	7.324	8.008	8.188	8.213	8.617	8.33	9.247	8.542	8.357	7.541	7.992	8.105	7.5
TCF7	9.39	10.703	9.982	9.493	8.176	9.92	10.173	8.606	9.344	8.748	10.22	8.669	8.726	9.225	8.486	8.963	9.119	8.268	9.371	8.826	8.745	10.262	8.507	8.435
TFE3	5.463	5.38	6.37	8.737	9.252	6.966	7.352	7.341	6.273	6.947	6.102	7.942	7.068	7.153	5.957	5.328	6.242	6.328	6.476	6.12	8.584	6.641	6.788	7.281
TFEB	9.077	8.058	7.804	8.316	7.865	7.251	10.041	8.421	9.236	8.082	8.251	8.163	7.431	7.813	7.588	8.54	7.808	8.441	8.113	7.892	9.057	7.679	7.656	9.239
TFRC	9.74	10.02	8.193	10.512	9.807	8.724	11.47	11.067	10.11	10.657	10.11	9.814	9.634	10.052	12.051	9.592	10.809	10.041	10.322	9.92	10.455	10.08	10.196	11.776
TGFB1	11.599	10.444	10.903	9.336	9.882	11.516	10.512	9.201	10.08	10.052	10.471	10.21	10.262	10.279	9.852	12.693	11.151	9.913	9.344	9.558	10.48	9.364	9.624	9.732
TGFB2	5.499	4.081	4.546	4.28	8.248	6.395	5.535	5.815	5.07	4.904	3.757	8.416	7.656	4.844	5.022	4.937	6	4.308	4.757	4.829	5.42	5.435	6.402	4.458
THBD	10.183	7.705	7.442	8.514	8.425	8.01	9.344	8.402	8.802	8.248	7.761	8.86	8.971	9.489	8.251	9.87	10.062	9.513	7.099	8.395	8.452	8.275	8.851	8.83
THBS1	9.993	10.007	9.728	10.251	10.237	9.453	10.938	9.748	10.682	10.703	10.262	11.576	11.599	10.183	9.393	9.064	11.421	8.678	12.025	8.702	9.398	8.944	10.251	9.724
THY1	10.262	9.376	9.349	10.052	8.669	10.203	8.99	9.364	9.748	10.36	9.437	10.374	9.807	9.767	9.1	8.293	11.754	7.503	10.02	9.283	8.799	9.724	9.147	9.152
TICAM1	8.067	9.252	8.224	9.04	8.844	8.031	9.134	9.513	9.176	8.717	8.783	9.119	9.484	10.041	10.01	9.69	9.528	8.637	10.572	8.163	9.434	9.053	9.326	10.072
TICAM2	7.785	8.185	9.161	8.511	8.95	8.844	8.119	8.385	8.473	8.261	9.31	8.199	8.266	8.528	7.289	8.617	8.479	8.346	7.17	8.036	8.846	8.817	8.441	8.66
TIGIT	7.399	7.905	8.224	7.596	8.64	8.873	8.303	7.544	7.638	8.255	8.079	8.051	7.863	7.627	7.685	8.092	7.721	8.531	7.953	8.137	8.167	8.082	7.596	7.736
TIRAP	8.855	8.079	8.354	9.06	8.327	7.972	8.232	8.681	9.221	8.281	8.14	8.511	8.86	8.863	8.64	8.034	8.14	7.299	8.82	8.412	9.314	7.717	8.908	9.002
TLK2	11.576	10.818	12.665	10.015	9.67	13.31	10.354	9.949	9.852	10.004	11.682	9.314	9.698	10.11	10.237	10.938	10.61	11.275	10.737	9.582	9.949	10.004	9.904	9.748
TLR1	8.366	8.75	9.276	8.666	9.852	9.887	9.119	10.03	9.185	9.413	9.354	9.423	9.294	8.881	9.294	9.643	8.658	8.99	8.838	9.573	9.364	9.23	8.884	9.493
TLR10	5.844	6.402	7.018	5.74	6.25	7.473	6.526	6.25	6.733	7.584	6.896	7.079	6.438	5.714	6.376	6.533	5.727	7.659	6.733	7.352	7.734	6	6.12	8.069
TLR2	8.024	7.972	8.625	9.47	9.006	8.571	7.853	8.438	8.006	8.316	8.574	8.537	8.121	7.758	7.601	10.389	7.795	7.339	7.493	8.119	7.624	8.344	8.116	8.031
TLR3	7.153	7.493	7.861	7.61	7.846	8.531	7.023	9.048	6.892	7.394	8.14	7.399	7.584	7.32	7.092	7.2	7.175	7.816	7.018	7.327	8.048	8.387	7.339	7.079
TLR4	8.239	8.445	8.586	8.695	8.395	9.006	8.578	8.385	8.087	9.053	8.525	8.74	8.52	8.476	9.027	8.239	8.18	8.204	8.255	9.521	7.734	8.875	8.778	8.153
TLR5	8.372	8.978	10.257	8.75	7.996	10.229	7.682	8.542	8.163	8.113	8.82	7.919	8.204	8.402	7.561	8.293	8.281	8.387	8.86	7.926	8.069	9.152	7.99	8.838
TLR6	8.058	8.271	9.064	7.841	7.996	9.43	8.297	7.682	8.163	8.213	9.08	7.956	7.944	7.834	8.449	8.137	7.544	7.87	7.736	8.525	8.216	8.145	7.736	8.558
TLR7	7.217	7.255	8.18	7.426	7.996	8.346	6.932	7.26	7.132	7.511	7.846	7.605	7.411	7.228	7.394	8.826	7.558	7.095	7.843	7.084	7.213	7.535	6.402	7.532
TLR8	7.136	7.659	8.863	7.079	7.431	8.416	7.529	6.566	7.19	6.799	7.88	6.845	7.265	7.116	7.217	7.829	7.774	7.493	7.541	7.084	7.588	7.769	7.084	7.898
TLR9	8.312	7.596	8.119	7.05	7.084	7.85	7.095	7.426	7.222	7.202	8.084	6.754	6.652	7.886	8.021	7.748	7.972	8.303	7.792	7.314	6.198	7.32	7.108	6.211
TMEFF2	6.185	6.402	7.2	5.74	4.937	8.024	6.788	6.125	7.222	6.559	7.099	4.349	5.824	5.552	7.483	7.018	6.382	8.103	7.281	6.069	7.314	6.953	5.947	7.302
TMUB2	9.79	9.707	9.513	9.215	9.463	10.522	9.598	9.521	9.265	9.176	10.173	8.91	9.233	9.624	10.02	9.81	9.648	10.262	9.624	9.371	9.852	9.69	9.553	9.604
TNF	7.236	7.127	6.793	5.157	6.301	7.381	7.041	6.762	6.234	7.785	6.788	7.475	5.824	5.778	6.762	6.668	6.308	8.288	7.714	7.981	7.588	7.289	6.288	6.788
TNFAIP3	9.513	11.541	9.434	8.98	9.74	8.497	10.091	9.215	9.908	10.343	11.708	10.302	10.041	9.904	10.327	12.295	10.657	7.772	13.363	9.66	9.814	11.321	9.484	9.561
TNFRSF10B	9.085	8.75	7.953	8.69	8.775	7.554	9.08	8.757	9.124	8.132	7.827	9.032	8.781	8.743	9.674	8.034	8.361	8.165	8.578	7.902	8.961	8.525	9.381	9.087
TNFRSF10C	7.001	6.832	7.442	6.701	5.594	8.163	6.12	7.959	6.131	6.662	7.283	7.27	6.741	6.754	7.529	7.497	7.088	8.802	6.852	7.099	6.415	6.566	7.755	7.281
TNFRSF11A	4.234	4.458	5.405	7.841	7.788	5.518	7.337	7.26	6.812	7.156	5.947	7.251	6.845	5.208	5.804	6.078	4.859	5.647	5.937	4.731	5.937	5.302	6.12	5.989
TNFRSF11B	6.662	8.067	8.135	7.099	7.829	7.581	8.785	6.308	7.354	7.808	9.773	8.903	7.618	8.14	9.087	8.836	7.42	7.464	7.185	7.391	6.688	8.048	8.15	6.892
TNFRSF12A	9.493	8.073	7.672	8.14	8.361	7.503	7.471	8.054	5.584	7.996	7.785	7.898	8.197	7.367	8.385	6.919	6.641	6.395	8.129	6.497	7.77	7.926	7.977	8.479
TNFRSF13B	4.234	5.232	4.546	3.512	3.897	3.402	3.728	3.851	3.825	5.499	3.512	4.882	4.806	4.191	3.825	3.512	4.757	2.35	2.991	4.234	3.048	3.601	3.239	3.239
TNFRSF13C	9.413	8.124	8.558	7.505	7.595	9.064	7.801	6.962	8.024	8.441	8.333	7.89	7.792	7.703	8.385	8.266	8.405	8.073	8.49	7.727	7.446	7.007	7.886	7.642
TNFRSF14	7.964	8.75	7.153	9.185	9.748	7.054	9.254	9.823	9.756	9.882	7.396	10.522	10.302	10.007	9.493	8.655	9.648	7.63	9.643	10.025	10.22	9.336	10.08	10.637
TNFRSF17	9.423	9.172	9.41	7.714	6.943	10.959	8.255	8.008	7.841	8.634	9.493	7.662	8.054	7.85	7.692	8.867	7.95	9.719	8.517	8.352	7.588	8.64	7.586	7.456
TNFRSF18	7.548	7.942	7.568	7.314	8.036	7.202	7.456	7.522	7.317	6.82	7.767	7.745	7.558	7.642	7.766	8.075	7.477	7.224	7.14	6.526	7.046	6.919	6.913	6.242
TNFRSF1A	10.13	10.535	9.223	10.851	10.919	8.634	11.221	10.61	10.903	11.014	10.072	10.412	11.342	11.321	11.047	10.041	10.833	9.971	11.089	10.818	11.342	11.106	10.938	10.291
TNFRSF1B	7.473	8.961	7.751	9.913	9.33	5.977	9.128	8.915	8.087	8.937	7.806	8.995	8.826	9.1	9.724	10.653	9.004	5.9	6.438	8.706	8.031	8.689	9.283	8.767
TNFRSF4	6.429	6.359	6.681	7.558	6.962	6.947	6.668	7.44	6.102	6.111	6.281	7.375	6.131	5.844	6.913	6.211	6.603	6.06	6.078	5.957	6.516	6.681	5.07	5.77
TNFRSF8	8.423	8.634	8.83	7.831	7.682	9.748	7.375	7.092	6.591	7.341	9.128	7.289	7.332	7.685	8.119	8.383	7.682	8.135	7.774	7.513	7.314	6.37	7.317	6.131
TNFRSF9	7.437	7.306	7.883	7.079	7.151	7.816	7.745	6.164	5.815	6.863	7.627	7.145	6.468	5.844	6.578	6.793	6.155	6.641	6.595	6.048	5.289	6.832	6.468	6.408
TNFSF10	8.931	11.342	11.708	11.252	9.326	10.903	10.15	11.031	10.703	10.317	11.067	10.166	11.368	11.275	11.014	11.975	9.702	11.975	11.13	12.246	11.275	10.317	10.818	10.703
TNFSF11	4.234	4.329	5.882	3.937	3.276	4.676	4.4	3.978	3.728	4.4	3.757	5.815	5.392	4.844	4.806	4.757	4.329	4.308	3.571	3.968	4.904	3.968	4.921	4.041
TNFSF12	8.528	8.185	6.476	9.381	8.211	6.364	8.653	9.5	8.781	9.166	6.591	8.869	8.903	8.615	8.376	8.603	8.525	6.37	6.12	9.147	8.995	7.839	8.263	8.497
TNFSF13	8.855	9.265	8.638	8.156	8.239	8.6	7.649	7.808	7.95	8.036	9.381	7.972	8.034	8.514	9.221	11.151	8.18	7.831	7.603	8.5	7.541	7.473	7.417	6.741
TNFSF13B	7.442	7.61	7.467	7.156	9.236	8.09	8.309	7.222	8.135	8.465	7.9	8.851	8.288	7.738	7.588	7.672	7.95	9.874	8.012	8.514	8.637	8.232	7.769	8.211
TNFSF14	6.618	11.198	9.578	7.772	9.082	6.993	6.242	8.855	12.345	9.446	9.904	10.08	10.279	11.576	6.741	10.594	10.15	6.748	10.01	9.032	8.482	8.802	9.5	10.746
TNFSF15	7.473	7.586	7.888	5.9	7.302	8.293	7.581	7.892	8.537	7.988	7.653	7.745	7.18	6.618	8.482	7.488	7.709	9.652	8.653	8.067	7.659	7.87	7.007	8.414
TNFSF18	3.968	3.757	3.371	7.944	3.677	3.742	3.276	4.676	3.601	5.594	3.957	4.546	4.498	4.308	4.4	2.991	3.276	2.883	4.439	4.15	3.618	3.757	3.54	3.968
TNFSF4	8.271	9.467	10.594	8.465	7.788	12.051	8.638	8.788	8.995	8.435	10.302	7.831	9.119	9.265	7.79	9.098	8.638	10.657	10.052	8.581	8.826	9.317	8.441	8.912
TNFSF8	6.553	7.236	7.283	7.132	7.692	7.81	7.417	5.762	7.405	7.283	7.099	7.792	7.068	6.553	6.547	6.701	6.48	7.779	6.832	7.041	6.688	7.209	6.881	7.596
TOLLIP	10.389	9.5	8.34	10.471	10.389	8.185	10.229	10.703	10.671	10.649	8.76	10.512	10.616	10.8	9.904	9.393	11.368	12.144	10.768	10.851	11.624	10.997	10.919	11.541
TP53	9.19	9.843	9.814	9.506	9.303	9.265	9.823	9.168	10.062	9.604	9.279	9.036	9.437	9.598	7.917	9.205	9.496	7.721	8.813	9.528	9.823	9.528	8.653	9.095
TPSAB1	9.982	7.767	8.418	8.898	8.488	9.1	8.486	8.781	8.416	10.455	8.199	8.927	9.814	9.479	8.258	9.358	10.354	8.335	9.082	9.085	7.386	8.359	8.275	7.923
TPTE	11.342	7.222	7.327	9.208	6.725	8.146	10.56	6.824	8.342	8.655	7.551	6.37	6.741	6.448	8.65	7.399	8.041	12.109	8.785	7.85	8.745	7.505	8.178	8.55
TRAF2	10.302	9.74	9.252	9.549	9.767	8.107	10.123	9.27	9.509	8.95	10.594	9.323	9.168	10.03	10.637	10.703	9.521	9.31	10.865	9.124	9.521	10.135	9.437	9.614
TRAF3	9.843	8.944	7.9	8.578	8.452	8.791	8.796	9.336	9.273	9.053	8.767	9.323	8.791	8.848	8.743	8.531	8.713	9.694	9.756	9.053	10.123	9.5	9.046	8.848
TRAF6	10.768	10.594	12.202	9.484	8.648	13.363	9.407	9.152	9.463	8.937	11.65	8.342	9.225	9.381	9.542	10.512	9.92	10.682	10.196	9.208	9.423	9.882	9.134	9.358
TREM1	8.204	7.829	8.135	6.803	7.17	8.381	8.514	7.653	7.703	7.873	7.837	7.079	7.032	6.733	7.81	8.16	7.649	9.756	8.74	8.416	7.386	7.579	7.222	8.441
TREM2	9.109	8.871	9.69	7.721	7.926	9.624	8.49	7.8	7.97	7.77	8.775	7.434	7.919	7.721	8.397	9.082	7.942	8.589	8.634	8.427	7.27	7.806	7.695	7.18
TRIM39	8.908	8.49	8.771	8.024	8.542	9.119	9.221	8.425	8.258	7.672	8.802	7.883	8.137	8.366	8.222	8.199	8.075	8.663	8.666	7.613	9.185	8.74	8.246	7.858
TTK	9.43	7.946	7.986	8.838	8.385	8.482	8.961	8.312	8.752	8.191	8.012	7.596	8.251	7.14	8.222	8.075	7.505	7.964	8.757	7.992	9.112	8.441	8.549	8.135
TUBB	12.345	10.768	10.22	12.345	11.198	12.025	13.221	11.495	11.252	11.421	10.291	11.047	11.776	10.779	11.736	10.302	11.252	12.051	11.516	10.737	11.151	11.13	11.106	10.779
TXK	4.937	4.991	6.295	4.937	5.632	6.863	4.921	5.449	5.27	5.208	6.12	6.01	4.991	5.714	5.315	5.617	4.921	4.676	4.991	5.022	5.937	5.13	4.859	5.922
TXNIP	12.246	12.246	11.65	11.221	10.72	10.296	11.516	11.682	12.144	12.051	13.473	12.693	12.542	11.47	12.854	13.31	13.133	10.183	13.679	11.321	9.874	10.72	12.345	12.144
TYK2	7.279	7.265	5.714	9.949	9.116	5.778	8.91	9.698	8.767	9.14	6.701	9.208	9.283	8.971	8.869	6.078	8.041	6.808	9.082	8.346	9.549	9.513	9.095	9.376
UBC	14.924	13.978	13.31	15.335	14.203	13.05	14.422	14.654	13.473	15.335	14.203	13.978	14.654	13.473	15.335	13.473	13.802	13.679	15.753	14.654	13.679	15.335	13.978	14.654
ULBP2	10.15	9.939	11.151	8.578	8.281	12.693	8.867	8.752	9.291	8.757	10.671	7.217	8.635	8.54	9.398	9.767	9.227	10.818	9.27	9.185	9.08	9.564	8.672	8.445
USP39	8.092	7.007	7.87	9.077	8.165	7.937	8.915	8.848	8.067	8.204	7.64	8.067	8.435	7.804	8.775	7.22	7.197	8.204	7.714	8.123	8.881	8.606	8.306	8.875
USP9Y	6.869	7.456	8.034	8.01	7.977	7.621	7.541	8.49	8.734	7.251	7.571	8.153	7.944	7.804	8.067	8.211	6.078	6.775	5.518	7.14	9.273	6.318	8.297	6.586
VCAM1	7.058	7.714	7.687	8.239	8.796	7.888	8.158	8.823	11.599	9.032	7.653	9.242	9.582	10.48	10.052	7.381	9.423	9.913	7.346	12.295	8.612	8.405	9.446	8.163
VEGFA	13.133	10.572	9.314	10.48	11.176	7.841	13.363	13.05	11.067	10.88	10.959	11.067	11.397	10.959	12.246	10.21	11.067	12.078	13.221	10.637	11.304	12.854	11.304	13.679
VEGFC	5.989	6.125	6.725	8.116	7.544	7.217	7.127	7.381	7.93	8.082	6.506	8.594	8.531	8.067	6.198	6.595	9.048	7.682	6.553	7.084	7.624	7.525	8.191	8.178
XCL2	9.371	10.076	11.941	8.666	7.926	12.596	8.906	8.699	9.016	8.717	11.13	7.251	8.449	8.791	8.443	9.609	9.41	11.682	10.427	9.221	8.975	9.707	8.681	9.225
XCR1	9.34	8.528	9.449	7.703	7.769	9.41	7.22	8.094	8.075	7.31	9.564	7.391	7.603	8.349	8.542	8.574	8.443	9.124	8.637	8.044	7.446	7.525	7.695	6.455
YTHDF2	9.74	8.978	9.823	9.773	9.506	8.663	9.913	9.004	8.91	8.912	8.675	9.064	9.387	9.036	9.208	8.218	8.631	7.856	8.271	8.669	9.715	9.463	9.336	9.23
ZAP70	7.727	8.669	7.2	7.426	7.598	7.42	7.734	7.505	7.475	8.197	6.919	8.658	8.258	8.342	7.892	8.993	7.755	7.689	7.774	8.791	7.659	6.953	7.785	7.18
ZC3H14	10.004	7.934	7.774	9.319	9.959	8.397	9.446	10.196	9.773	9.542	8.038	9.724	9.33	9.252	8.397	7.2	9.112	9.437	9.393	9.413	10.637	9.767	9.773	9.878
ZKSCAN5	7.136	7.165	7.724	8.204	7.745	7.9	7.023	8.024	7.222	7.036	7.363	7.375	6.652	6.803	7.236	6	6.582	7.598	7.627	7.041	8.031	7.662	7.743	7.964
ZNF143	7.194	5.463	4.546	9.006	8.663	5.518	8.537	8.91	7.915	7.944	5.13	8.39	8.126	7.779	7.513	5.392	6.858	5.727	7.44	7.685	8.288	8.137	7.999	9.112
ZNF205	7.408	6.281	6.572	8.079	7.251	6.662	8.048	7.222	5.778	6.788	6.887	7.596	7.108	7.522	6.82	5.575	5.666	5.855	5.815	5.289	7.939	7.132	7.16	7.49
ZNF346	8.594	9.095	9.748	8.054	8.309	9.298	8.455	8.337	8.549	7.937	10.041	8.051	8.258	8.634	7.19	8.637	8.848	8.565	8.503	7.967	8.908	8.482	8.54	8.01
