symbol	S01	S02	S03	S06	S08	S10	S11	S12	S14	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S29	S30	S31
KLRC2	7.268	8.16	8.275	7.986	8.01	9.276	7.624	7.44	6.48	6.82	8.048	6.506	6.526	6.102	7.642	7.032	5.833	8.52	8.026	7.827	8.069	8.55	6.06	7.35
KLRD1	4.113	3.897	5.405	5.647	6.913	5.977	4.634	4.859	4.439	4.655	4.294	5.392	4.364	5.606	3.609	4.349	4.586	4.478	4.6	4.937	4.364	4.478	4.731	4.041
KLRF1	7.522	7.751	8.486	6.775	5.242	8.912	8.029	7.175	7.317	7.24	8.361	5.793	7.2	7.386	7.576	7.477	6.993	8.802	7.44	7.265	8.482	8.397	7.558	7.332
KLRG1	4.937	5.606	6.641	5.046	5.392	6.754	6.078	4.937	5.499	5.575	5.699	7.434	7.084	6.37	5.666	6.402	5.9	5.499	5.251	6.301	6.824	5.302	6.155	5.535
KLRK1	6.265	6.591	7.517	7.236	8.5	7.568	7.479	7.37	7.274	7.503	6.947	7.839	7.953	7.544	6.376	7.74	6.625	7.702	6.875	8.675	7.808	7.095	7.834	7.05
LAG3	5.208	5.793	5.882	5.251	8.222	4.676	7.588	5.762	4.731	5.518	3.512	7.511	6.997	5.38	5.242	8.012	4.757	5.685	5.617	6.925	6.947	5.793	6.06	5.594
LAIR2	8.9	9.314	10.13	8.558	8.689	11.397	8.748	8.385	8.704	8.617	10.535	8.268	8.574	8.462	8.783	10.455	9.195	10.291	9.413	9.002	8.15	8.763	8.349	8.612
LAMP1	12.596	12.391	11.13	12.078	11.975	7.598	12.542	11.941	11.682	12.995	11.275	11.837	11.808	12.109	12.391	11.275	12.786	12.854	11.65	12.078	12.693	12.345	11.941	11.445
LAMP2	8.834	10.041	8.103	10.291	12.638	7.613	10.818	10.737	11.495	11.342	9.004	12.078	11.151	11.445	10.768	10.407	10.529	9.475	11.495	10.455	11.368	10.851	10.959	11.106
LAMP3	7.317	7.408	7.363	7.05	6.641	8.372	7.522	8.224	7.738	8.473	7.785	7.529	7.46	7.116	7.434	7.289	7.442	8.743	7.581	8.421	7.27	7.783	6.681	7.736
LBP	10.22	12.542	11.187	12.051	15.335	9.887	9.843	12.638	12.995	12.345	11.321	11.304	11.65	12.078	13.133	12.025	12.48	11.421	9.23	12.443	12.443	11.624	12.854	13.802
LCK	7.613	8.542	8.224	7.638	8.036	8.672	7.908	7.194	6.938	8.6	8.156	8.584	8.001	7.603	7.902	7.937	7.767	8.195	8.113	8.757	7.588	7.541	7.755	6.892
LCN2	6.484	12.345	8.486	6.019	8.43	7.194	9.112	8.978	11.397	13.679	13.133	8.363	6.308	7.522	11.47	7.649	7.63	7.908	7.265	10.327	7.046	10.412	6.858	12.295
LCP1	10.547	9.782	8.16	10.196	10.88	8.048	10.88	10.471	10.091	10.851	8.303	10.865	10.36	10.22	9.513	7.672	10.262	10.547	9.652	11.252	10.302	9.852	10.498	9.545
LGALS3	8.447	7.837	6.476	11.342	11.47	6.808	9.904	10.572	10.183	10.572	6.37	10.737	9.924	8.963	10.594	7.705	9.79	7.054	11.005	10.978	8.393	9.252	8.871	8.813
LIF	8.781	7.861	8.558	6.641	7.581	8.565	6.932	8.619	7.618	7.873	8.103	8.482	7.779	7.153	7.541	7.063	7.571	7.565	7.821	6.896	7.046	7.084	6.553	6.953
LILRA1	6.553	6.788	8.726	6.832	6.812	8.346	6.578	6.566	6.328	6.06	8.361	6.415	6.415	6.896	6.078	7.306	6.443	7.761	7.028	6.668	6.824	6.443	6.335	6.681
LILRA4	5.535	6.09	7.283	4.498	3.677	7.354	4.4	5.617	5.685	5.405	7.058	4.113	5.563	5.251	5.606	5.509	5.463	6.448	5.977	5.815	4.613	5.882	4.655	5.699
LILRA5	8.875	8.528	9.198	7.642	7.856	9.364	7.495	7.85	7.788	7.217	9.446	7.145	7.81	7.9	7.953	8.589	8.796	8.094	8.182	7.767	6.125	7.464	7.834	7.431
LILRB1	7.236	7.483	7.774	7.26	8.52	8.275	7.834	7.682	7.579	7.926	7.975	7.734	7.477	7.116	7.046	6.808	7.529	8.073	7.755	8.441	6.824	7.624	7.145	7.642
LILRB2	8.855	8.9	8.709	8.038	7.761	10.649	8.103	8.5	8.199	8.523	9.643	8.213	8.295	8.232	8.834	9.319	8.748	9.66	9.257	9.326	7.213	8.195	8.263	8.019
LILRB3	8.248	8.143	8.208	7.588	7.666	8.253	7.26	7.601	7.565	7.598	8.412	7.769	7.44	7.289	7.417	8.958	7.755	6.925	7.394	7.581	6.947	7.446	7.274	7.104
LRP1	11.151	10.61	8.937	11.837	10.8	8.335	11.397	11.275	11.47	11.505	9.034	11.275	11.252	11.151	11.198	10.101	11.198	10.444	10.56	11.495	11.941	11.881	11.221	10.865
LRRN3	6.429	7.032	7.605	5.824	6.111	8.578	6.748	6.993	7.426	7.917	7.584	6.211	6.603	6.078	7.028	6.533	6.816	8.98	8.804	7.634	7.77	7.876	6.741	8.084
LTA	9.767	9.614	10.106	7.865	7.483	11.304	8.767	8.105	8.333	7.902	9.786	7.538	8.069	8.197	8.537	9.33	8.366	9.561	9.131	8.028	8.253	8.5	8.253	7.766
LTB	10.01	11.421	10.851	7.902	8.452	7.529	8.029	7.992	8.258	9.095	8.844	9.542	8.574	8.675	9.221	10.08	9.004	7.541	8.826	8.565	7.695	7.558	8.116	6.625
LTBR	9.92	11.014	10.427	10.602	11.576	8.488	11.089	10.671	11.421	10.746	11.421	9.982	10.768	11.252	11.304	11.708	10.285	10.572	11.221	11.014	12.345	11.252	11.014	10.354
LTF	8.993	9.116	9.057	7.748	7.656	10.541	7.596	7.886	8.087	8.359	8.99	7.734	7.745	7.937	8.197	8.555	8.619	9.598	8.571	8.113	7.346	7.769	7.853	7.255
LTK	9.172	7.79	8.658	7.573	7.818	8.86	6.455	8.363	7.738	7.359	8.318	7.49	6.845	8.239	8.432	8.402	8.056	9.164	8.732	7.776	6.824	7.359	7.679	6.019
LY86	8.092	7.905	8.354	6.586	7.717	8.52	8.191	7.46	7.662	8.178	7.9	7.573	7.672	6.839	7.81	7.517	7.279	8.531	8.681	8.655	7.9	8.071	6.788	7.988
LY9	9.312	9.814	11.776	8.681	8.335	12.542	8.6	8.663	8.726	8.781	11.495	8.239	8.525	9.023	8.886	9.882	9.33	10.72	9.843	8.886	8.069	9.558	8.402	9.131
