"","datasetID","sampleID","predict.cluster","predict.cluster_withmultiple","NO.vote.1","NO.vote.2","NO.vote.3","NO.vote.4","NO.vote.5","NO.vote.6","NO.vote.7","class_1_vs_2.Pwilcox_greater","class_1_vs_3.Pwilcox_greater","class_1_vs_4.Pwilcox_greater","class_1_vs_5.Pwilcox_greater","class_1_vs_6.Pwilcox_greater","class_1_vs_7.Pwilcox_greater","class_2_vs_1.Pwilcox_greater","class_2_vs_3.Pwilcox_greater","class_2_vs_4.Pwilcox_greater","class_2_vs_5.Pwilcox_greater","class_2_vs_6.Pwilcox_greater","class_2_vs_7.Pwilcox_greater","class_3_vs_1.Pwilcox_greater","class_3_vs_2.Pwilcox_greater","class_3_vs_4.Pwilcox_greater","class_3_vs_5.Pwilcox_greater","class_3_vs_6.Pwilcox_greater","class_3_vs_7.Pwilcox_greater","class_4_vs_1.Pwilcox_greater","class_4_vs_2.Pwilcox_greater","class_4_vs_3.Pwilcox_greater","class_4_vs_5.Pwilcox_greater","class_4_vs_6.Pwilcox_greater","class_4_vs_7.Pwilcox_greater","class_5_vs_1.Pwilcox_greater","class_5_vs_2.Pwilcox_greater","class_5_vs_3.Pwilcox_greater","class_5_vs_4.Pwilcox_greater","class_5_vs_6.Pwilcox_greater","class_5_vs_7.Pwilcox_greater","class_6_vs_1.Pwilcox_greater","class_6_vs_2.Pwilcox_greater","class_6_vs_3.Pwilcox_greater","class_6_vs_4.Pwilcox_greater","class_6_vs_5.Pwilcox_greater","class_6_vs_7.Pwilcox_greater","class_7_vs_1.Pwilcox_greater","class_7_vs_2.Pwilcox_greater","class_7_vs_3.Pwilcox_greater","class_7_vs_4.Pwilcox_greater","class_7_vs_5.Pwilcox_greater","class_7_vs_6.Pwilcox_greater"
"120","CHCC_HBV","T741","4","4","1","0","5","6","1","4","0","6.74e-01","1.00e+00","1.00e+00","8.49e-01","1.00e+00","1.74e-04","3.67e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.71e-01","5.59e-11","5.68e-14","1.00e+00","1.18e-10","9.85e-10","1.50e-18","5.07e-14","4.85e-15","8.05e-07","2.64e-11","3.17e-09","2.67e-13","1.53e-01","7.65e-07","1.00e+00","1.00e+00","1.00e+00","2.21e-01","7.43e-07","2.18e-08","1.00e+00","1.00e+00","7.95e-08","7.63e-06","1.00e+00","3.00e-02","1.00e+00","1.00e+00","7.86e-01","1.00e+00"
"121","CHCC_HBV","T743","1","1","5","3","3","0","3","0","0","1.95e-03","4.01e-11","1.04e-14","4.02e-10","8.59e-13","2.42e-16","1.00e+00","2.15e-01","6.68e-12","3.47e-01","3.11e-09","4.39e-09","1.00e+00","7.88e-01","9.85e-13","4.85e-02","2.98e-12","1.70e-16","1.00e+00","1.00e+00","1.00e+00","1.00e+00","8.74e-01","9.65e-01","1.00e+00","6.58e-01","9.52e-01","1.68e-08","7.24e-11","2.37e-05","1.00e+00","1.00e+00","1.00e+00","1.28e-01","1.00e+00","9.41e-01","1.00e+00","1.00e+00","1.00e+00","3.60e-02","1.00e+00","6.49e-02"
"122","CHCC_HBV","T745","3","3","0","0","5","1","0","3","1","5.45e-01","1.00e+00","9.99e-01","4.98e-01","1.00e+00","7.73e-01","5.00e-01","1.00e+00","3.52e-01","2.45e-01","9.54e-01","9.99e-01","1.25e-08","4.98e-09","3.40e-07","2.73e-08","3.82e-01","2.95e-06","6.69e-04","6.49e-01","1.00e+00","9.88e-01","1.00e+00","9.67e-01","5.06e-01","7.59e-01","1.00e+00","1.24e-02","1.00e+00","1.00e+00","3.74e-05","4.62e-02","6.19e-01","3.38e-05","2.24e-05","5.17e-01","2.28e-01","1.40e-03","1.00e+00","3.32e-02","4.60e-04","5.00e-01"
"123","CHCC_HBV","T755","6","6","0","0","2","2","2","3","1","9.18e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.83e-01","1.02e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.60e-11","1.06e-10","9.98e-01","3.68e-02","1.93e-02","2.16e-01","5.40e-15","8.12e-07","2.52e-03","8.03e-03","9.99e-01","3.67e-02","3.16e-04","4.35e-04","9.64e-01","9.92e-01","1.00e+00","9.91e-01","2.84e-06","2.00e-07","9.81e-01","1.22e-03","2.72e-10","1.85e-01","1.72e-02","1.90e-05","7.85e-01","9.64e-01","1.00e-02","8.27e-01"
"124","CHCC_HBV","T777","6","6","0","0","4","1","2","6","1","2.48e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.99e-01","7.87e-01","1.00e+00","9.93e-01","1.00e+00","1.00e+00","1.00e+00","9.83e-11","1.22e-10","5.63e-04","8.86e-05","1.00e+00","2.23e-01","4.02e-05","7.40e-03","9.99e-01","9.82e-01","1.00e+00","9.98e-01","7.48e-05","3.63e-05","1.00e+00","1.80e-02","1.00e+00","7.50e-01","5.73e-13","6.02e-12","1.25e-10","8.66e-11","6.99e-13","3.81e-06","1.45e-03","1.25e-09","7.77e-01","2.33e-03","2.57e-01","1.00e+00"
"125","CHCC_HBV","T785","6","6","0","0","2","3","2","6","4","3.67e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","6.74e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","2.48e-11","1.14e-08","1.00e+00","9.97e-01","1.00e+00","1.00e+00","9.04e-13","4.17e-09","3.74e-04","7.75e-01","1.00e+00","1.00e+00","2.65e-10","3.62e-07","2.94e-03","2.28e-01","1.00e+00","9.98e-01","5.73e-13","3.88e-12","6.06e-17","1.14e-13","4.11e-14","1.61e-04","1.83e-15","3.92e-11","1.74e-16","1.76e-05","1.94e-03","1.00e+00"
"126","CHCC_HBV","T813","1","1","3","2","2","0","2","1","1","4.88e-02","6.57e-02","2.00e-08","1.15e-02","1.34e-09","4.10e-11","9.63e-01","9.25e-01","1.40e-07","5.68e-01","8.57e-05","1.89e-03","9.35e-01","7.64e-02","2.66e-12","3.98e-01","1.13e-02","1.73e-05","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.89e-01","4.37e-01","6.04e-01","1.33e-06","1.57e-04","4.86e-01","1.00e+00","1.00e+00","9.89e-01","1.93e-06","1.00e+00","9.98e-01","1.00e+00","9.98e-01","1.00e+00","2.32e-07","5.24e-01","2.37e-03"
"127","CHCC_HBV","T815","1","1","5","3","3","0","2","0","1","3.91e-03","2.73e-09","4.74e-14","1.56e-08","8.59e-13","4.77e-16","9.98e-01","5.25e-03","3.83e-10","9.47e-02","3.64e-09","5.37e-06","1.00e+00","9.95e-01","1.23e-06","9.07e-01","1.35e-13","1.15e-08","1.00e+00","1.00e+00","1.00e+00","1.00e+00","3.49e-01","8.79e-01","1.00e+00","9.08e-01","9.43e-02","8.30e-06","4.06e-09","2.51e-03","1.00e+00","1.00e+00","1.00e+00","6.56e-01","1.00e+00","9.99e-01","1.00e+00","1.00e+00","1.00e+00","1.22e-01","9.98e-01","9.93e-04"
"128","CHCC_HBV","T817","2","2","3","4","0","0","3","1","3","1.50e-01","2.02e-09","1.02e-08","9.94e-01","2.89e-08","9.95e-01","8.75e-01","3.04e-11","1.55e-15","1.21e-02","4.08e-12","9.98e-07","1.00e+00","1.00e+00","8.58e-03","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.92e-01","1.00e+00","7.94e-01","1.00e+00","6.58e-03","9.88e-01","4.81e-13","3.32e-09","2.95e-13","2.42e-01","1.00e+00","1.00e+00","4.71e-04","2.09e-01","1.00e+00","1.00e+00","5.43e-03","1.00e+00","1.07e-10","4.13e-12","7.65e-01","3.81e-06"
"129","CHCC_HBV","T823","7","7","0","1","0","0","3","1","6","8.75e-01","8.83e-01","9.91e-01","1.00e+00","9.79e-01","1.00e+00","1.50e-01","6.61e-05","3.76e-03","4.91e-01","2.52e-02","1.00e+00","1.18e-01","1.00e+00","9.95e-01","1.00e+00","1.00e+00","1.00e+00","9.06e-03","9.96e-01","4.57e-03","1.00e+00","9.60e-01","1.00e+00","1.64e-07","5.14e-01","1.93e-10","3.56e-04","1.85e-02","1.00e+00","2.17e-02","9.75e-01","4.93e-11","4.16e-02","9.82e-01","1.00e+00","2.75e-16","5.78e-09","2.96e-19","7.58e-13","3.73e-08","3.81e-06"
"130","CHCC_HBV","T851","2","2","0","2","0","0","1","0","0","9.73e-01","1.34e-01","4.97e-01","6.75e-01","4.66e-01","8.80e-01","3.71e-02","2.19e-03","3.39e-04","1.63e-03","1.89e-04","7.94e-01","8.67e-01","9.98e-01","6.61e-01","9.99e-01","3.71e-01","9.91e-01","5.05e-01","1.00e+00","3.41e-01","9.96e-01","9.63e-01","8.83e-01","3.28e-01","9.98e-01","6.81e-04","3.98e-03","4.35e-03","7.86e-01","5.36e-01","1.00e+00","6.31e-01","3.84e-02","9.96e-01","8.86e-01","1.21e-01","2.08e-01","9.40e-03","1.18e-01","2.21e-01","1.23e-01"
"131","CHCC_HBV","T857","7","7","0","0","1","2","2","5","6","9.36e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","8.20e-02","4.29e-01","9.42e-01","8.68e-01","1.00e+00","1.00e+00","6.72e-06","5.75e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","3.92e-11","5.82e-02","2.46e-06","7.89e-01","1.00e+00","1.00e+00","1.13e-08","1.35e-01","3.57e-10","2.13e-01","1.00e+00","1.00e+00","1.18e-12","1.38e-07","1.74e-16","1.22e-10","9.57e-06","1.00e+00","6.06e-17","1.80e-11","2.96e-19","2.79e-13","7.45e-09","1.64e-04"
"132","CHCC_HBV","T861","4","4","0","0","1","6","3","4","3","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.95e-03","7.95e-01","1.00e+00","9.99e-01","1.00e+00","1.00e+00","5.00e-07","2.08e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.27e-15","3.19e-16","3.47e-18","2.64e-11","1.14e-13","1.21e-12","2.72e-07","5.50e-04","3.51e-06","1.00e+00","1.00e+00","9.92e-01","2.13e-07","2.67e-04","5.81e-10","1.00e+00","1.55e-04","7.52e-01","1.71e-13","1.19e-08","6.64e-16","1.00e+00","8.69e-03","2.61e-01"
"133","CHCC_HBV","T863","6","6","0","0","2","2","2","6","3","5.45e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","5.00e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","6.42e-10","2.29e-06","9.97e-01","9.77e-01","1.00e+00","1.00e+00","7.60e-09","1.34e-05","3.32e-03","6.20e-01","1.00e+00","8.51e-01","1.70e-06","2.51e-04","2.36e-02","3.83e-01","1.00e+00","9.56e-01","1.34e-12","2.19e-11","1.51e-15","6.79e-08","1.83e-09","8.56e-04","1.75e-12","4.35e-11","2.08e-11","1.50e-01","4.63e-02","9.99e-01"
