"","class_1_vs_2","class_1_vs_3","class_1_vs_4","class_1_vs_5","class_1_vs_6","class_1_vs_7","class_2_vs_1","class_2_vs_3","class_2_vs_4","class_2_vs_5","class_2_vs_6","class_2_vs_7","class_3_vs_1","class_3_vs_2","class_3_vs_4","class_3_vs_5","class_3_vs_6","class_3_vs_7","class_4_vs_1","class_4_vs_2","class_4_vs_3","class_4_vs_5","class_4_vs_6","class_4_vs_7","class_5_vs_1","class_5_vs_2","class_5_vs_3","class_5_vs_4","class_5_vs_6","class_5_vs_7","class_6_vs_1","class_6_vs_2","class_6_vs_3","class_6_vs_4","class_6_vs_5","class_6_vs_7","class_7_vs_1","class_7_vs_2","class_7_vs_3","class_7_vs_4","class_7_vs_5","class_7_vs_6"
"T517",0.001953125,9.65560793851557e-05,4.49575947952089e-08,5.39156394717286e-06,5.16111266665617e-11,2.92897386976283e-15,1,0.999984900829929,0.0299657537035338,0.999993265508238,0.00333098626129758,0.0193573305235241,0.99990615857203,1.603407807238e-05,1.44695259225395e-08,0.175001228964768,1.01547592384883e-14,1.22593996935602e-14,0.99999995615591,0.970320810457493,0.999999985812245,0.999995188616562,0.391627157197733,0.0314815265140272,0.999994836625837,7.3412993515376e-06,0.8264122698907,4.99162932885629e-06,6.39222450468237e-09,0.000118158757686615,0.999999999950478,0.99673882842507,0.99999999999999,0.613167504716956,0.999999993806349,0.584136962890625,0.999999999999997,0.981004381268058,0.999999999999988,0.968939510217842,0.999895557761192,0.432521820068359
"T523",0.01953125,0.999844375690491,1.21136180494258e-12,4.40788387070702e-07,1.76720399048136e-08,1.2982978913795e-14,0.986328125,0.9999999987119,7.95026041810769e-08,0.443014665772353,0.000101253348507039,9.44327041427329e-06,0.000159985490325433,1.44990508488263e-09,5.85472978828391e-18,5.08488718791908e-12,6.05952041428991e-17,2.96001326664531e-19,0.999999999998827,0.999999922301302,1,0.999968468973926,0.999745541424024,0.817899039706623,0.999999579827759,0.562639988995215,0.999999999995102,3.26360367436693e-05,0.0725785714519587,0.0738526248835264,0.999999982944708,0.99990151835273,1,0.00026658358209228,0.928177324761599,0.370183739392745,0.999999999999987,0.999990879698252,1,0.183720492489899,0.929635628614717,0.647546476034673
"T525",0.994140625,0.116563828976247,1.08100192064515e-07,0.214163443536634,1.70166955953171e-05,0.0848148387331796,0.009765625,9.87157022791509e-07,8.51875685119895e-15,5.01993781654164e-07,6.7184571598859e-11,5.2764260442587e-09,0.884837780820793,0.999999083022857,6.8695135961835e-06,0.93831111466522,0.445694137884048,0.404638207132704,0.999999894502371,0.999999999999992,0.99999323426269,0.999053662909672,0.996955569710394,0.999999999983953,0.788559033411628,0.999999549250788,0.062347436966636,0.000972084483449735,0.0335010298389589,0.992997132241726,0.999983441196452,0.999999999935842,0.555869759577472,0.00316697284699785,0.966898554579259,0.999973297119141,0.915798371013475,0.999999994958819,0.596600046576981,1.6710424253824e-11,0.00753218680620193,3.814697265625e-05
"T527",0.212890625,0.105685766086575,4.84630255042681e-08,6.44709828664523e-08,6.66010636609694e-07,9.54830929985891e-15,0.8203125,0.553343346208266,3.78146017240126e-08,0.0103562230324314,9.0588192890307e-05,0.00136643794227965,0.895620600757011,0.451079025711465,1.97574475843784e-13,4.51016130769780e-09,8.45837678632792e-12,1.56967882551413e-16,0.999999952734467,0.999999963063962,0.999999999999807,0.997987305941673,0.99999533656171,0.999712554736005,0.999999938840721,0.990057280036126,0.999999995631305,0.00206394117121449,0.747938710762935,0.860379122197628,0.999999354590477,0.999911907986365,0.999999999991769,5.00709199968697e-06,0.253783769834939,0.695270538330078,0.999999999999991,0.998667859204871,1,0.000294008928883944,0.145040638744831,0.319847106933594
"T533",0.673828125,0.99999999067684,0.0445391088757983,0.0031887938768865,0.880084027828128,3.55700381271602e-06,0.3671875,0.999999999999289,0.000481238920236941,0.596267730390537,0.650106874083191,0.89791227363908,9.71897392927027e-09,9.37916411203333e-13,1.4727517959072e-15,8.8250700740115e-13,1.03733398302875e-13,6.34025251214518e-17,0.955886038602839,0.999525970646194,0.999999999999999,0.983711614497316,0.999980350159663,0.977311389050981,0.996900661647153,0.409295724773983,0.999999999999151,0.0166140720598503,0.999939178637231,0.854959361255169,0.121198014659811,0.352493223435174,0.999999999999899,2.07036408010727e-05,6.21987288349519e-05,0.00896875996099256,0.999996508509027,0.103473903377455,1,0.0230197813370171,0.150595374405384,0.992116038527802
"T537",0.064453125,2.0366887105227e-08,7.21088467974076e-15,1.55585603897075e-08,9.39976580447533e-13,3.88275324389984e-15,0.951171875,0.00981806766887417,3.04474762755878e-14,3.14451826852746e-05,1.16375804779307e-10,2.09588931452754e-09,0.999999980444919,0.990487893250474,2.07570441261939e-13,3.83905736936097e-05,5.89585831500871e-14,1.25669158136515e-14,0.999999999999993,0.99999999999997,0.999999999999797,0.999994428123265,0.869099217056828,0.935575416373605,0.999999985252284,0.999970863751514,0.999962465190878,5.77921165195894e-06,3.48416218860819e-09,0.105428516864777,0.999999999999101,0.999999999888803,0.999999999999943,0.133491428438674,0.999999996628111,0.990882873535156,0.999999999999996,0.999999997999893,0.999999999999988,0.065180887410974,0.898929886519909,0.010406494140625
"T545",0.064453125,3.0619008793072e-05,4.76568444633603e-07,0.127377391727502,0.00109206847027232,0.975298795588939,0.951171875,6.6491766659654e-05,7.46422296828388e-15,1.45108060678467e-07,4.03567525586758e-11,0.00035796345900855,0.999970298720505,0.9999364869911,2.25924926515233e-09,0.956656700803181,0.999939749732048,0.985731214515762,0.999999534324903,0.999999999999993,0.999999997786414,0.999999977024092,0.999964120148206,0.99999999999551,0.874567249494674,0.999999871241016,0.0438410185388898,2.40279041666977e-08,0.000358252842415999,0.983002617955208,0.998930517172502,0.999999999961482,6.12302016267309e-05,3.8122234968796e-05,0.999648711322291,0.999927520751953,0.0249310960826931,0.999651998007841,0.0143851612009406,4.68055314778522e-12,0.0181030631065369,9.5367431640625e-05
"T553",0.544921875,0.7292465757134,0.841061674398614,0.999999999750304,0.734928553048629,0.999990592347904,0.5,0.123807794800143,0.160468686212687,1,0.148821203238779,0.998199338019801,0.273136888928652,0.87849316263285,0.932172488511981,0.999999999999962,0.999998908145476,0.999999999991476,0.160040684861933,0.840578776465762,0.0682660511806575,0.999999999798522,0.78358245667539,0.99675718769616,2.65054873335302e-10,3.63797880709171e-12,3.94636273222417e-14,2.11990152047707e-10,4.06033224994544e-12,1.86264514923096e-07,0.267121779914954,0.852838496936703,1.11336529960529e-06,0.219961058394119,0.999999999996089,0.997627258300781,9.57632548762801e-06,0.00184578913740079,8.71348643909124e-12,0.00330327575394161,0.999999858438969,0.00279998779296875
"T557",0.998046875,0.99941606790897,0.999999999999993,0.999996809033849,0.999016666930767,0.999999952335897,0.00390625,0.0377180628452795,0.999999995986482,0.551319320406037,0.704141224215229,0.999997796606651,0.000598840468638541,0.963199934524936,0.999999999999995,0.999822689565493,0.999999972783093,0.999999997169058,7.43086758188553e-15,4.11732196901729e-09,4.94160862216649e-15,2.78613408244414e-07,6.62922548144708e-06,0.000120767144501686,3.33508228591664e-06,0.454356935591932,0.000180993798841072,0.999999732653739,0.950453506589821,0.99930752068758,0.00100424553041891,0.298285622844189,2.78277067499852e-08,0.99999381646785,0.0501119376715605,0.765853881835938,4.87325590792377e-08,2.28661250115453e-06,2.88726045384305e-09,0.999882027519837,0.000764705240726471,0.247539520263672
"T563",0.986328125,0.997157074930007,0.999999999294751,0.999999998714177,0.999999999996452,1,0.01953125,0.019709358856949,0.941571140321359,0.990842306076956,0.9999996785475,0.999999999982923,0.00290615704513511,0.980842047375338,0.999997359205569,0.999999999983406,1,1,7.25413791552274e-10,0.0589242923246614,2.6830369098185e-06,0.995312709055528,0.999999998316525,0.999999999999745,1.36163712170105e-09,0.00954333757545101,1.72102426819534e-11,0.00479687548559947,0.999999513461495,0.999998740851879,3.70679822527895e-12,3.33298625048397e-07,1.09973490034595e-16,1.91607796296012e-09,5.00049254051353e-07,1,6.05993312373632e-17,1.79955116297382e-11,2.95986188548806e-19,2.66540413288799e-13,1.54227018356323e-06,3.814697265625e-06
