"","datasetID","sampleID","predict.cluster","predict.cluster_withmultiple","NO.vote.1","NO.vote.2","NO.vote.3","NO.vote.4","NO.vote.5","NO.vote.6","NO.vote.7","class_1_vs_2.Pwilcox_greater","class_1_vs_3.Pwilcox_greater","class_1_vs_4.Pwilcox_greater","class_1_vs_5.Pwilcox_greater","class_1_vs_6.Pwilcox_greater","class_1_vs_7.Pwilcox_greater","class_2_vs_1.Pwilcox_greater","class_2_vs_3.Pwilcox_greater","class_2_vs_4.Pwilcox_greater","class_2_vs_5.Pwilcox_greater","class_2_vs_6.Pwilcox_greater","class_2_vs_7.Pwilcox_greater","class_3_vs_1.Pwilcox_greater","class_3_vs_2.Pwilcox_greater","class_3_vs_4.Pwilcox_greater","class_3_vs_5.Pwilcox_greater","class_3_vs_6.Pwilcox_greater","class_3_vs_7.Pwilcox_greater","class_4_vs_1.Pwilcox_greater","class_4_vs_2.Pwilcox_greater","class_4_vs_3.Pwilcox_greater","class_4_vs_5.Pwilcox_greater","class_4_vs_6.Pwilcox_greater","class_4_vs_7.Pwilcox_greater","class_5_vs_1.Pwilcox_greater","class_5_vs_2.Pwilcox_greater","class_5_vs_3.Pwilcox_greater","class_5_vs_4.Pwilcox_greater","class_5_vs_6.Pwilcox_greater","class_5_vs_7.Pwilcox_greater","class_6_vs_1.Pwilcox_greater","class_6_vs_2.Pwilcox_greater","class_6_vs_3.Pwilcox_greater","class_6_vs_4.Pwilcox_greater","class_6_vs_5.Pwilcox_greater","class_6_vs_7.Pwilcox_greater","class_7_vs_1.Pwilcox_greater","class_7_vs_2.Pwilcox_greater","class_7_vs_3.Pwilcox_greater","class_7_vs_4.Pwilcox_greater","class_7_vs_5.Pwilcox_greater","class_7_vs_6.Pwilcox_greater"
"24","TCGA_LIHC","TCGA.DD.A113.01A","3","3","1","0","3","0","2","0","0","2.48e-01","9.87e-01","1.14e-01","6.07e-01","1.95e-02","1.59e-05","7.87e-01","9.64e-01","2.84e-02","9.95e-01","9.24e-03","7.49e-02","1.27e-02","3.72e-02","5.86e-07","3.08e-02","2.27e-06","3.33e-07","8.87e-01","9.72e-01","1.00e+00","1.00e+00","9.54e-01","6.69e-01","3.96e-01","5.72e-03","9.70e-01","1.29e-04","2.09e-04","1.31e-02","9.81e-01","9.91e-01","1.00e+00","4.73e-02","1.00e+00","9.95e-01","1.00e+00","9.26e-01","1.00e+00","3.33e-01","9.88e-01","6.02e-03"
"25","TCGA_LIHC","TCGA.2Y.A9H9.01A","6","6","0","0","3","2","2","5","1","5.45e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.79e-01","5.00e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","2.25e-11","2.05e-09","2.52e-01","6.74e-04","9.91e-01","3.21e-02","1.37e-10","5.46e-09","7.49e-01","2.60e-01","1.00e+00","1.48e-01","3.28e-04","1.27e-06","9.99e-01","7.43e-01","1.00e+00","8.55e-01","2.65e-09","2.09e-10","9.41e-03","2.45e-08","1.83e-09","9.54e-05","2.13e-02","4.96e-07","9.68e-01","8.53e-01","1.51e-01","1.00e+00"
"26","TCGA_LIHC","TCGA.CC.A7IE.01A","1","1,2","4","4","1","0","3","0","1","1.80e-01","2.60e-11","3.69e-11","2.03e-02","2.88e-11","2.55e-08","8.50e-01","4.49e-06","1.36e-13","1.68e-01","4.08e-10","9.03e-08","1.00e+00","1.00e+00","2.15e-02","1.00e+00","1.94e-05","1.26e-01","1.00e+00","1.00e+00","9.79e-01","1.00e+00","5.69e-01","9.72e-01","9.80e-01","8.36e-01","1.39e-08","2.27e-07","1.15e-11","1.23e-02","1.00e+00","1.00e+00","1.00e+00","4.36e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","8.74e-01","2.82e-02","9.88e-01","2.10e-04"
"27","TCGA_LIHC","TCGA.XR.A8TD.01A","7","6,7","0","0","1","0","0","4","4","9.98e-01","9.99e-01","9.83e-01","9.95e-01","1.00e+00","1.00e+00","3.91e-03","1.79e-01","5.39e-03","2.45e-01","8.15e-01","6.35e-01","9.46e-04","8.24e-01","3.69e-01","9.57e-01","1.00e+00","1.00e+00","1.71e-02","9.95e-01","6.32e-01","4.65e-01","1.00e+00","1.00e+00","5.04e-03","7.59e-01","4.38e-02","5.38e-01","1.00e+00","1.00e+00","1.13e-04","1.87e-01","9.02e-08","2.70e-07","4.80e-05","5.84e-01","4.14e-05","3.68e-01","1.99e-08","7.21e-07","9.22e-05","4.33e-01"
"28","TCGA_LIHC","TCGA.DD.AAD2.01A","7","7","0","0","0","1","2","3","6","9.51e-01","9.45e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","6.45e-02","1.85e-01","9.76e-02","7.64e-01","9.58e-01","1.00e+00","5.62e-02","8.18e-01","9.77e-01","1.00e+00","1.00e+00","1.00e+00","2.80e-04","9.03e-01","2.30e-02","9.97e-01","1.00e+00","1.00e+00","4.05e-05","2.41e-01","1.00e-05","2.58e-03","9.18e-01","1.00e+00","4.92e-04","4.29e-02","2.62e-11","3.50e-06","8.31e-02","9.99e-01","8.01e-12","1.21e-07","1.23e-15","8.54e-11","6.56e-07","7.90e-04"
"29","TCGA_LIHC","TCGA.DD.AACY.01A","7","6,7","0","0","2","2","2","5","5","5.45e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","5.00e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.96e-08","9.77e-05","9.82e-01","9.14e-01","1.00e+00","1.00e+00","2.09e-09","5.02e-06","1.80e-02","9.97e-01","1.00e+00","9.99e-01","1.78e-06","6.56e-05","8.64e-02","2.65e-03","1.00e+00","1.00e+00","2.65e-09","1.12e-07","8.15e-13","1.89e-07","3.06e-04","8.15e-01","6.35e-12","2.08e-10","1.16e-12","7.05e-04","2.14e-04","1.96e-01"
"30","TCGA_LIHC","TCGA.CC.A7IF.01A","3","3","0","0","6","0","1","1","0","1.25e-01","1.00e+00","6.24e-01","8.75e-01","9.45e-01","8.64e-03","8.98e-01","1.00e+00","9.83e-01","1.00e+00","9.98e-01","9.96e-01","3.91e-10","6.85e-09","5.24e-12","8.04e-05","3.55e-04","9.46e-10","3.78e-01","1.75e-02","1.00e+00","9.95e-01","1.00e+00","9.90e-01","1.27e-01","8.00e-06","1.00e+00","4.80e-03","5.90e-01","6.43e-02","5.52e-02","1.54e-03","1.00e+00","1.78e-06","4.13e-01","1.52e-02","9.91e-01","4.44e-03","1.00e+00","1.05e-02","9.39e-01","9.87e-01"
"31","TCGA_LIHC","TCGA.DD.AACD.01A","7","7","0","0","1","3","1","2","4","9.51e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","6.45e-02","9.18e-01","1.00e+00","9.92e-01","9.95e-01","1.00e+00","2.10e-04","8.34e-02","1.00e+00","9.98e-01","1.00e+00","1.00e+00","2.75e-12","1.63e-05","1.44e-09","1.41e-03","1.00e-01","1.62e-01","4.64e-05","8.08e-03","1.88e-03","9.99e-01","9.98e-01","1.00e+00","2.92e-06","5.14e-03","4.32e-08","9.02e-01","1.88e-03","6.17e-01","4.56e-08","3.96e-06","3.22e-10","8.40e-01","6.27e-05","3.99e-01"
"32","TCGA_LIHC","TCGA.ED.A4XI.01A","7","6,7","0","0","1","3","3","4","4","7.15e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.00e+00","3.26e-01","9.92e-01","1.00e+00","1.00e+00","1.00e+00","1.00e+00","1.02e-05","8.64e-03","1.00e+00","1.00e+00","1.00e+00","1.00e+00","9.27e-12","1.95e-08","6.78e-08","9.97e-01","1.00e+00","1.00e+00","3.62e-08","1.51e-06","1.99e-10","3.45e-03","9.98e-01","9.80e-01","1.19e-11","9.36e-10","1.58e-16","4.54e-07","2.22e-03","9.46e-01","1.21e-16","2.59e-11","3.14e-19","3.34e-10","2.18e-02","5.94e-02"
"33","TCGA_LIHC","TCGA.CC.A9FW.01A","3","3","1","0","2","0","1","0","0","3.91e-03","1.04e-02","1.81e-02","1.16e-01","4.40e-04","3.43e-03","9.98e-01","9.88e-01","4.06e-01","9.48e-01","1.60e-02","3.33e-02","9.90e-01","1.22e-02","4.71e-01","9.95e-01","2.95e-06","3.41e-06","9.82e-01","5.96e-01","5.30e-01","9.90e-01","1.33e-03","3.23e-02","8.86e-01","5.40e-02","5.17e-03","1.02e-02","7.07e-08","1.19e-01","1.00e+00","9.84e-01","1.00e+00","9.99e-01","1.00e+00","8.68e-01","9.97e-01","9.67e-01","1.00e+00","9.68e-01","8.85e-01","1.42e-01"
